i,Action,Industry,Country,ИНН
Rakovnický Pivovar,stopped exports and withdrew some products for sale in Russia,Consumer Staples,Czech Republic,
Ralph Lauren,pause operations in Russia,Consumer Discretionary,United States,
Raytheon,suspend operations in Russia,Industrials,United States,7715746872
Reface.ai,suspend all new downloads and updates of app in Russia,Information Technology,Ukraine,
Reima,suspend all sales into Russia,Consumer Discretionary,Finland,7707747022
Reliance,intention to avoid Russian fuel,Energy,India,7707775799
Remitly Global,stop accepting new users in Russia,Information Technology,United States,
Revolut,stop top-ups for Russian cards and block transfers to Russian institutions,Financials,United Kingdom,7703408188
Richemont,suspend all operations in Russia,Consumer Discretionary,Switzerland,
Ricoh,suspend shipments to Russia,Information Technology,Japan,7703177188
Roca,closure of plants,Consumer Discretionary,Spain,4716020686
Rockwell Automation,suspend operations in Russia,Industrials,United States,7705913080
Roland DG,suspend all exports and sales to Russia,Information Technology,Japan,9705005460
Rolex,suspend exports to Russia,Consumer Discretionary,Switzerland,7729577060
Rolls Royce,suspend all shipments to Russia,Industrials,United Kingdom,7728849515
Rovio,remove games from app stores in Russia,Information Technology,Finland,
Royal Caribbean Cruises,cancel summer cruise ship visits to Russia,Consumer Discretionary,United States,
Royal Society of Chemistry,pause activities with Russian institutions,NGO,United Kingdom,
Safran,stop all activities in Russia,Industrials,France,7723046634
Samsonite International,suspend operations in Russia,Consumer Discretionary,Luxembourg,
Samsung,suspend all shipments to Russia,Information Technology,South Korea,7703608910
Sandvik,suspend all operations in Russia,Industrials,Sweden,7743051544
Sardina,suspend deliveries to Russia,Consumer Staples,Croatia,2521006622
Scandinavian Tobacco,suspend most operations in Russia,Consumer Staples,Denmark,
Scania,suspend all sales in Russia,Industrials,Sweden,7705392920
Schwarz Group,stop sales of Russian products in stores,Consumer Staples,Germany,
Sennheiser,suspend all business & stop exports,Information Technology,Germany,7703600572
Sharp Group,suspend shipping into Russia,Information Technology,Japan,7816510062
Shiseido,suspend export shipments to Russia,Consumer Staples,Japan,7705788023
Simba Dickie Group,suspend all business in Russia including with local independent distributor,Consumer Discretionary,Germany,
Skoda,halted production and stopped exports,Consumer Discretionary,Czech Republic,274900469
Skytrax,suspend all audit and rating analysis,NGO,United Kingdom,
Smartway Pharmaceuticals,"suspended all operations, most supplies, and all advertising",Health Care,United Kingdom,
Sodeca,cut off all supplies to Russian partners,Industrials,Spain,
Solvay,suspend operations in Russia,Materials,Belgium,7743085960
SonoSim,suspend distributor relationship in Russia,Health Care,United States,
Sony,"pause release of new films in Russia, suspending console and game sales in Russia",Consumer Discretionary,Japan,7703623724
Sportradar,"suspend all new investments in Russia, including signing new customers",Consumer Discretionary,Switzerland,2540247493
SriLankan Airlines,suspend flights between Sri Lanka and Russia,Industrials,Sri Lanka,
SSAB,shipments and sales to Russia discontinued,Materials,Sweden,7816366147
Stellantis,suspend operations in Russia,Consumer Discretionary,Netherlands,
STIHL,suspend deliveries to Russia,Consumer Discretionary,Germany,9715420306
Storytel,pause operations in Russia,Communication Services,Sweden,7802857829
Subaru,suspend all shipments to Russia,Consumer Discretionary,Japan,7714176330
Sumitomo Group,scaling back or suspending all Russian-related business,Financials,Japan,
Supercell,remove games from app stores in Russia,Information Technology,Finland,
Swarovski,suspend all sales in Russia,Consumer Discretionary,Liechtenstein,7705440268
Swatch,suspend direct operations in Russia,Consumer Discretionary,Switzerland,7704582037
Sweco,stop all projects in Russia,Industrials,Sweden,7728622433
Synopsys,suspend all opeartions in Russia,Information Technology,United States,7804146281
T Machinery,Stopped cooperation,Industrials,Czech Republic,6663059899
Tadano,suspension of shipments into Russia,Industrials,Japan,5406541240
Take-Two Interactive,"halt sales, marketing and more in Russia",Communication Services,United States,
Tanin,goods are stopped,Materials,Slovenia,7731022179
Tata Motors,paused sales of Jaguar Land Rover in Russia,Consumer Discretionary,India,
Tendam,suspend activity in Russia,Consumer Discretionary,Spain,7725778986
The Navigator Company,suspend all marketing in Russia,Materials,Portugal,1660110315
Thermo Fisher,suspend sales and manufacturing in Russia,Health Care,United States,5047112693
TikTok,suspend operations in Russia,Communication Services,United States,9706005663
Timken,suspend operations in Russia,Industrials,United States,4715029693
Torm,effectively suspend shipments to Russia,Industrials,Denmark,5836690934
Tous,close shops and online store in Russia,Consumer Discretionary,Spain,274968957
Trelleborg Group,suspended deliveries and sales to Russia,Industrials,Sweden,
Trimble,suspend all sales in Russia,Information Technology,United States,
Triumph,suspend Russian business,Consumer Discretionary,Switzerland,
TSMC,suspend all shipments to Russia,Information Technology,Taiwan,7802425353
TTC Holding,suspended activities,Real Estate,Czech Republic,7728769595
Twin Disc,suspend all shipments to Russia,Industrials,United States,
Twitter,suspend certain operations in Russia,Communication Services,United States,
Ubisoft,suspend new sales to Russia,Information Technology,France,7703815578
UiPath,suspend sales in Russia,Information Technology,United States,7714440440
UL,stop all work in Russia & Belarus and not take on or pursue any new customer orders,Industrials,United States,7707083893
Under Armour,suspend all shipments to Russia,Consumer Discretionary,United States,7704388939
Uniqlo/Fast Retailing,suspend operations in Russia,Consumer Discretionary,Japan,7705878750
United Airlines,no flying over Russian airspace,Industrials,United States,5701000985
UPM,temporarily suspend operations and sales in Russia,Materials,Finland,7609006019
UPS,suspend all shipments to Russia,Industrials,United States,7705454461
Upwork,suspend operations in Russia,Industrials,United States,
Valero Energy,suspend purchases of Russian oil,Energy,United States,
Veeam,pause sales in Russia,Information Technology,United States,7814391596
VF Corporation,temporarily suspend commercial activities,Consumer Discretionary,United States,7839471892
Victoria’s Secret,"stop exports to Russia, pause sales in Russia by franchisers, suspend online sales",Consumer Discretionary,United States,7701610014
Viessmann,stop business with Russia & stop deliveries to and from Russia,Industrials,Germany,7716168776
Vietnam Airlines,suspend flights to Russia,Industrials,Vietnam,
Viking River Cruises,cease all operations in Russia & cancel trips to Russia up to 2024,Consumer Discretionary,Switzerland,
Visa,suspend operations in Russia,Information Technology,United States,
Vitec Group,suspend all exports and services,Consumer Discretionary,United Kingdom,
Viva,suspend purchases of Russian oil,Energy,Australia,7731554014
VMWare,suspend operations in Russia,Information Technology,United States,7714437222
Volkswagen,suspend all shipments to Russia,Consumer Discretionary,Germany,7702349370
Volvo Cars,suspend all shipments to Russia,Industrials,Sweden,5047105054
Volvo Group,"suspend all sales, service and production",Industrials,Sweden,
WarnerMedia,pause new content releases,Communication Services,United States,
Waters Corporation,suspend all sales and services into Russia,Health Care,United States,
WEKA,suspend business and concrete deals with Russia,Information Technology,Israel,
Western Union,suspend operations in Russia,Information Technology,United States,
WeTransfer,suspend all services in Russia,Information Technology,United States,
Wielton,suspended Russian exports,Industrials,Poland,7729547732
William Grant & Sons,suspend all shipments to Russia,Consumer Staples,United Kingdom,7704685579
Wimbledon,ban Russian athletes,NGO,United Kingdom,5250017574
Wise PLC,suspend Russian partnerships,Information Technology,United Kingdom,7327065746
Wizz Air,Air flights to/from Russia are temporarily suspended,Industrials,Hungary,
Wolffkran,stop production in Russia; maintain personnel,Industrials,Switzerland,5009114749
World Boxing Council,suspend Russia from title fights,NGO,Mexico,
World Federation of Exchanges,suspend all Russian members and affiliates,NGO,United Kingdom,
Woseba,suspends deliveries to Russia,Consumer Staples,Poland,7715985285
Wrangler (Kontoor),suspend online sales,Consumer Discretionary,United States,
Würth,stop exports to Russia,Consumer Discretionary,Germany,
WWE,suspend all operations in Russia,Communication Services,United States,2632120183
Xerox,suspend shipments to Russia,Information Technology,United States,7705029530
Yara,suspend all imports from Russia,Materials,Norway,7714007029
YKK Group,suspend operations in Russia,Industrials,Japan,7731555963
YOOX,suspend commercial activities,Consumer Discretionary,Italy,3666255215
Żabka,halts orders from Russia & Belarus,Consumer Staples,Poland,7816044365
Zegna Group,suspended all shipments to and production for Russia partners,Consumer Discretionary,Italy,
Zendesk,suspend all sales to Russia,Information Technology,United States,
Zetor,suspend all cooperation with Russia,Industrials,Czech Republic,7736656556
ZHA,suspend operations in Russia,Industrials,United Kingdom,7709644706
Zynga,"suspend all installations, monetization and marketing support",Communication Services,United States,
AB InBev,sold stake in joint ventures and suspend using its license in Russia,Consumer Staples,Belgium,5020037784
Accenture,exiting Russia completely,Information Technology,Ireland,7705476338
Accountor,withdrawal from Russia,Information Technology,Finland,7842531615
Acronis,suspend operations in Russia,Information Technology,Switzerland,7715532020
Adenza,discontinue all operations in Russia,Information Technology,United Kingdom,7813585415
AECOM,exit Russia operations,Industrials,United States,7722227613
AerCap,cease leasing activity with Russian airlines,Industrials,Ireland,7709598136
AG Barr,cut ties with Russian market,Consumer Staples,United Kingdom,2129032796
Air Products,full divestiture from Russia,Materials,United States,7702509257
AirBaltic,leave Russian market until further notice,Industrials,Latvia,
Akvelon,close offices in Moscow,Information Technology,United States,7716207785
Alcoa,"cease buying raw materials from, or selling our products to, Russian businesses",Materials,United States,7709534220
Aldi,remove products from Russia,Consumer Staples,Germany,7717749220
Allegro,bans Russian & Belarussian products,Consumer Discretionary,Poland,
Allen & Overy,wind down Russian operations,Industrials,United Kingdom,7707448784
Ametek,closing TPM Russia subsidiary due to war in Ukraine,Industrials,United States,7705583555
Amsted Rail,exit Russia completely,Industrials,United States,6451421154
AP7,sell off  all of Russian shares,Financials,Sweden,7
APG,sell all Russian investment,Financials,Netherlands,4705019858
ArcelorMittal,removed all Russian materials from supply chain,Materials,Luxembourg,7706703128
Arendt & Medernach,pull out of Russia; close Russian office and suspend select Russian client engagements,Industrials,Luxembourg,
Asda,remove products from Russia,Consumer Staples,United Kingdom,
Assicurazioni Generali,exit Russia completely,Financials,Italy,
Atos,exit from Russia,Information Technology,France,7714895494
Atria,exit business in Russia,Consumer Staples,Finland,3327823135
Avery Dennison,exit Russian operations,Materials,United States,
Avid,"cease all sales and support to all customers, users and resellers in Russia & Belarus",Information Technology,United States,5905051018
Aviva,Exited all equity and debt positions,Financials,United Kingdom,5001050268
Baker Botts,wind down Moscow office,Industrials,United States,7704279087
Baker McKenzie,cease operations in Russia and transfer them to an independent entity,Industrials,United States,
Baker Tilly,gradual wind down of operations in Russia,Industrials,United Kingdom,7717129201
Bakoma,withdraw from Russia completely prior to aggression,Consumer Staples,Poland,
Ball Corporation,leave Russia completely,Materials,United States,7730528540
BASF SE,wind down Russian operations,Materials,Germany,7706800837
BBDO,exit Russian operations,Industrials,United States,7710582282
Bestseller,stop all sales to Russia through distributors,Consumer Discretionary,Denmark,
BlackRock,curtail Russian access to capital markets,Financials,United States,2543154825
Bonava,close operations in Russia,Real Estate,Sweden,7841018263
Bose,stop all product shipments,Information Technology,United States,278188637
Boskalis,exit Russian  Arctic LNG 2 project,Industrials,Netherlands,7814387166
BP,divest from 20% Rosneft stake,Energy,United Kingdom,7017307674
British American Tobacco,exit Russian operations,Consumer Staples,United Kingdom,6455000238
British Standards Institution (BSI),terminate all contractual relations & discontinue services in Russia,Industrials,United Kingdom,
Bryan Cave,exit Russian operations; local partners and counsel form new firms,Industrials,United States,7703717210
Bumble,remove apps from app stores,Communication Services,United States,3662075596
Cadence,terminate operations in Russia,Information Technology,United States,7706505535
Canva,withdraw from Russia,Information Technology,Australia,7706003165
Carlsberg,exit Russia completely,Consumer Staples,Denmark,7802849641
Carnival,discontinue Russia itineraries,Consumer Discretionary,United States,
Centrica,exit gas supply partnership with Gazprom,Utilities,United Kingdom,9722001426
Ceratizit,stop all deliveries to Russia and Belarus,Industrials,Luxembourg,1655140040
Cersanit,put up its Russian business for sale,Consumer Discretionary,Poland,7718640257
Chapman Freeborn,wind down Russian business,Industrials,United Kingdom,
Ciech,suspended Russian exports,Materials,Poland,
Cisco,orderly wind down Russian operations,Information Technology,United States,7705751094
Clarivate,exit Russian operations,Industrials,United Kingdom,7708299359
Clifford Chance,wind down operations in Moscow; local partners and counsels form own firm,Industrials,United Kingdom,7710033370
CMS,transfer Russian practice to local partners and counsel,Industrials,Germany,7719244680
Colliers,discontinue business in Russia,Real Estate,Canada,7450001007
Comarch,halts orders from Russia & Belarus,Information Technology,Poland,7704545099
Compass Group,permanently exit Russian market,Consumer Staples,United Kingdom,6681001193
Coop,fully divest Russian operations Transgourmet via management buyout,Financials,Switzerland,4825123480
Coty,wind down Russian business,Consumer Staples,United States,7705888892
Covestro,Ceased Business Activity in Russia,Materials,Germany,7718106630
CRH,withdrawal from Russia,Materials,Ireland,7725598260
Cummins,exit Russian operations,Industrials,United States,5047053409
Currency.com,halting operations for residents of Russian,Financials,United Kingdom,
Cushman & Wakefield,close office in Russia; transfer to local partner,Real Estate,United States,7705637585
Cyfrowy Polsat,removing Russian TV channels from the offer,Communication Services,Poland,
Danfoss,exit Russia completely,Industrials,Denmark,5017050538
DDB,exit Russian operations,Materials,United States,7702636470
Dechert,close Russian office,Industrials,United States,
Deezer,discontinue services in Russia,Communication Services,France,
Deichmann,withdraw from Russia,Consumer Discretionary,Germany,
Deloitte,leaving Russia completely; local office launched own firm,Industrials,United States,7710976720
Delta Air Lines,withdraw codeshare services with Aeroflot,Industrials,United States,
Dentons,exit Russian operations,Industrials,Switzerland,7710028902
Dentsu International,divest joint venture/leave Russia,Communication Services,United Kingdom,7731596504
Deutsche Bank,wind down business in Russia,Financials,Germany,7703104630
Deutsche Telekom,close Russian business,Communication Services,Germany,7705223633
Dino Polska,removed Russian products,Consumer Staples,Poland,
DLA Piper,withdrawing from Russia,Industrials,United States,
DPD,withdrawal from the Russian market,Industrials,Germany,7713215523
Dr. Oetker,stops sales and production in Russia; transferred ownership of production facilities,Consumer Staples,Germany,7743342857
DXC Technology,leaving Russia completely,Information Technology,United States,
EarthDaily Analytics,terminate operations in Russia,Industrials,United States,
Edeka,remove Russian food from store shelves,Consumer Staples,Germany,6912011272
edX (2U),withdraw from all Russian partnerships,Information Technology,United States,2
Electronic Arts,make new game purchases unavailable in Russia,Communication Services,United States,7704649588
Elisa Esports,ban Russian teams from participating in tournaments,NGO,Finland,
ELKO Group,leave Russia,Information Technology,Latvia,7707703988
Emerson Electric,exit Russian business,Industrials,United States,7705130530
Enel,divest from the entire Russian stakes,Utilities,Italy,3662186169
ENEOS,discontinue purchases of Russian crude,Energy,Japan,273929828
EPAM,discontinue servicing Russian customers,Information Technology,United States,7719232155
Equinor,exit joint ventures in Russia,Energy,Norway,4101150169
ESAB,transition out of operations in Russia,Industrials,Sweden,7704219345
Etsy,deactivate all listings from Russian sellers,Consumer Discretionary,United States,4345520897
Eurovision,ban on all Russian competition,NGO,United Kingdom,7718756318
Eversheds Sutherland,close Russia office; transfer Russia practice to local partners and counsels,Industrials,United Kingdom,
Evonik,withdraw from Russia,Materials,Germany,7729527750
Expedia,suspend bookings in Russia,Consumer Discretionary,United States,7802840399
Exxon,exit Rosneft partnership,Energy,United States,7704547120
EY,leaving Russia completely,Industrials,United States,7734660998
FANUC,"totally suspend all shipments, services and maintenance in Russia",Industrials,Japan,
Fazer,exit Russia,Consumer Staples,Finland,
Fennovoima,terminate Russian nuclear power plant project,Energy,Finland,7842075560
FICO,exiting all work in Russia,Information Technology,United States,5029170935
Fiskars,withdraw completely from the Russian market,Consumer Discretionary,Finland,
Flowserve,exit Russia completely,Industrials,United States,
FMC Corporation,discontinue all business and operations,Materials,United States,7710106822
Fonterra,exit its businesses in Russia,Consumer Staples,New Zealand,7743058941
Formula One,terminat contract with the Russian Grand Prix promoter,Communication Services,United Kingdom,7704573748
Fortum,exit Russian market,Utilities,Finland,7203162698
Freshfields,closing business in Russia,Industrials,United Kingdom,
G2A,block marketplace for Russian users,Communication Services,Netherlands,7701831623
Gameloft,make company's games unavailable in Russia,Information Technology,France,7718980380
Gaz-System,stopped gas imports,Utilities,Poland,6164234792
Global Foundries,suspend all shipments to Russia,Information Technology,United States,
GoDaddy,discontinue all Russian services,Information Technology,United States,
Gowling,leave Russia,Industrials,Canada,
Grant Thornton,closing business in Russia,Industrials,United States,9701180164
Grid Dynamics,close offices in Russia & cease all operations,Information Technology,United States,7813540887
Grohe,cease all activities with Russia,Consumer Discretionary,Germany,7724502632
Halliburton,No longer conducts operations in Russia,Energy,United States,
Haniel,unwind all Russian business,Materials,Germany,5911057360
Hays plc,close Russian business,Industrials,United Kingdom,
Hearst Communications,terminate the licensing agreements & turn over its equity to Russian subsidiary,Communication Services,United States,
Heidrick & Struggles,ceased all operations in Russia,Industrials,United States,7705789482
Heineken,exit Russia completely,Consumer Staples,Netherlands,7802118578
Hempel,exit Russia,Industrials,Denmark,7814066902
Henkel,exit business activities in Russia,Consumer Staples,Germany,7702691545
Herbert Smith Freehills,end operations in Russia; local partners and counsels open independent firm,Industrials,Australia,
Hesburger,withdraw from Russia,Consumer Discretionary,Finland,
Hogan Lovells,exit Russian operations,Industrials,United Kingdom,
Holcim,exit Russian market completely,Materials,Switzerland,5022050558
Houthoff,terminate all relationships with Russia,Industrials,Netherlands,
HP Enterprise (Independent from HP Inc.),exit Russia & Belarus,Information Technology,United States,
HP Inc.,shut down business in Russia,Information Technology,United States,7743101210
Huhtamaki,divest Russian operations,Materials,Finland,7724000760
IBM,wind down business in Russia,Information Technology,United States,7705041866
IDEXX Labs,wind down operations & liquidate subsidiary,Health Care,United States,
Ikea,fold up Russian presence,Consumer Discretionary,Sweden,5047076050
IMCD,withdraw from Russia completely,Industrials,Netherlands,7816365432
Imperial Brands,transfer Russian business to local partners,Consumer Staples,United Kingdom,
Incoff Aerospace,no longer trade with the Russians,Industrials,Slovakia,9729260236
Infineon,liquidate Russian entity,Information Technology,Germany,7707562046
Infosys,shutting down operations in Russia,Information Technology,India,6952324659
InPost,stop purchasing services/goods from Russian & Belorussian companies,Industrials,Poland,7716975963
Intercontinental Exchange,curtail Russian access to capital markets,Financials,United States,5905013823
Intercontinental Hotels (IHG),Ceased operations in Russia,Consumer Discretionary,United Kingdom,
International Boxing Federation,ban on all Russian competition,NGO,France,
International Cat Federation,ban Russian cats from competitions,NGO,Canada,
International Cycling Union,ban on all Russian competition,NGO,United States,
International Ice Hockey Federation,ban on all Russian competition,NGO,Switzerland,
International Olympic Committee,ban Russian athletes from competing,NGO,Switzerland,7717149840
International Skating Union,ban on all Russian competition,NGO,Switzerland,7704544680
International Weightlifting Federation,ban on all Russian competition,NGO,Switzerland,
Interpublic Group,exit Russian operations,Communication Services,United States,7707359534
ISS,ISS divested its Russian activities during March and is no longer active in Russia,Industrials,Denmark,7728630064
J Sainsbury,remove products from Russia,Consumer Staples,United Kingdom,
Jabil,closed its site in Russia,Information Technology,United States,7735531508
Jägermeister,Fully stopped business in Russia,Consumer Staples,Germany,
Jamie Oliver,exit franchise agreement,Consumer Staples,United Kingdom,
Jan de Nul,close rep office and withdraw ships,Industrials,Luxembourg,
JetBrains,suspend all activity indefinitely,Information Technology,Czech Republic,7801605057
JLL,separate operations in Russia,Real Estate,United States,
John Wood Group,withdraw from Russia,Industrials,United Kingdom,
Kalnapilis-Taurus,termination of export ties and production in Russian Market,Consumer Staples,Lithuania,
Kelly,leave Russia & transition operations,Industrials,United States,9727006178
Kemira,exit Russia completely,Consumer Discretionary,Finland,7705317320
Kiilto,seeking exit from Russian business,Materials,Finland,4011017719
Kingspan,exit Russia,Industrials,Ireland,4705033556
Kinross Gold,complete exit from Russia by selling Russian operations,Materials,Canada,4101027920
KLP,exit all investment holdings in Russia,Financials,Norway,5051007645
Knorr-Bremse,will not deliver any more products or systems for Russian locomotives; end JVs,Industrials,Germany,7706808089
Koch Industries,sell Russian business to a local enterprise,Industrials,United States,
Kofax,curtail all sales of software and close sites in Russia,Information Technology,United States,7802722476
KPMG,leaving Russia completely,Industrials,United States,7702019950
Krispy Kreme,winding down business in Russia,Consumer Discretionary,United States,
L'Occitane,exit Russian operations,Consumer Discretionary,France,7707591760
Lamb Weston,exit Russian market,Consumer Staples,United States,
Latham & Watkins,wind down Russian presence,Industrials,United States,
Lincoln Electric,ceased all operations,Industrials,United States,5703000684
Linklaters,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm",Industrials,United Kingdom,
Lloyd's Register,withdraw services to Russia,Industrials,United Kingdom,7801696343
London Stock Exchange Group,curtail Russian access to capital markets,Financials,United Kingdom,
LPP Group,left Russia,Consumer Discretionary,Poland,
Lufthansa,suspended flights and ended Russian aircraft maintenance,Industrials,Germany,5009059872
Luxoft,exit Russian market,Information Technology,Switzerland,5010031261
Marsh McLennan,exit operations in Russia,Financials,United States,7707088309
McDonald's,leave the Russian market & sell Russian business,Consumer Discretionary,United States,7710044140
McKinsey,exit Russian market completely,Industrials,United States,
MessageBird,"shut down API access, block SMS and voice traffic to Russian carriers",Information Technology,Netherlands,
Mondi,sell Russian assets,Materials,United Kingdom,6685148334
Monroe Energy,stop imports of Russian crude oil,Energy,United States,
Moog Inc.,exit Russian operations,Industrials,United States,
Morgan Advanced Materials,cease all trading with Russia.,Industrials,United Kingdom,
Morgan Lewis,close Russian offices,Industrials,United States,7703174349
Morrisons,remove products from Russia,Consumer Staples,United Kingdom,
MSCI,curtail Russian access to capital markets,Financials,United States,
MSU S.A.,ceased all business activities in Russia,Consumer Discretionary,Poland,7745000111
Nasdaq,curtail Russian access to capital markets,Financials,United States,7801435447
Naspers,Ended Operations. Sold Avito.,Consumer Discretionary,South Africa,
NCAB Group AB,sold assets and ceased operations in Russia,Industrials,Sweden,7816197682
Netflix,suspend service in Russia,Communication Services,United States,
Netscout,"pause all sales, support, and services in Russia",Information Technology,United States,
Nike,exit Russia,Consumer Discretionary,United States,6025015384
Nokia,pulling out of Russia completely,Information Technology,Finland,7722087042
Norton Rose Fulbright,exit from Russia,Industrials,United Kingdom,9710089715
Norwegian Cruise Lines,discontinue Russian itineraries,Consumer Discretionary,United States,
NTT Data,exit Russia,Information Technology,Japan,7710546710
OBI,exit Russian market completely,Consumer Discretionary,Germany,
Oceania Cruises,discontinue Russian itineraries,Consumer Discretionary,United States,
Oerlikon,sell Russian operations,Materials,Switzerland,5053067167
Omnicom Media Group,exit Russian operations,Communication Services,United States,
OneWeb,suspend use of Russian airspace,Communication Services,United States,7702420009
Orkla,exit Russian operations,Consumer Staples,Norway,7825350055
Orlen Lietuva,stopped Russian oil imports,Energy,Poland,
Owens Corning,expedite exit from Russia,Industrials,United States,
Parker Hannifin,closed our office and warehouse facility in Moscow and no longer do business in this country,Industrials,United States,7710550273
Paulig,withdraw from Russia,Consumer Staples,Finland,7814010459
Pensioenfonds Detailhandel,sell off all Russian investments,Financials,Netherlands,
Pentair,exiting its business in Russia,Industrials,United States,7751524339
PFZW,divest from all Russian assets,Financials,Netherlands,
PGL Esports,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition,Communication Services,United States,
PKO BP,suspends transactions with Russian banks transactions in Russian ruble suspended,Financials,Poland,
PME pensioenfonds,sell off all Russian investments,Financials,Netherlands,
Polskie Górnictwo Naftowe i Gazownictwo SA,stopped gaz imports,Energy,Poland,
Ponsse PLC,divest Russian operations,Industrials,Finland,7841312240
Prio,ceased purchase of any products from Russian or directly related companies,Energy,Portugal,6227001779
Publicis Groupe,cede ownership to local affiliates,Communication Services,France,7714328921
PwC,leaving Russia completely,Industrials,United States,7710761700
PZU SA,reduced position in Russian bonds to zero,Financials,Poland,
Qantas Airlines,no longer flies over Russian territory,Industrials,Australia,
R&A,ban on all Russian competition,Industrials,United States,7701810711
Reckitt Benckiser Group,begins a process aimed at transferring ownership of its Russia business,Consumer Staples,United Kingdom,
Red Hat,discontinue sales and services in Russia & terminate partnerships,Information Technology,United States,7743378998
Regent Seven Seas Cruises,discontinue Russian itineraries,Consumer Discretionary,United States,
Renault,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production,Consumer Discretionary,France,6320002223
Rewe,remove products from Russia from shelves,Consumer Discretionary,Germany,7720628169
Rimi,remove products from Russia from shelves,Consumer Discretionary,Latvia,
Rio Tinto,terminate all commercial relationships with Russia,Materials,Australia,7704568508
Rocket Lawyer,suspend Russian and Belarusian access to the platform,Information Technology,United States,
Roku,remove Kremlin-linked propaganda and ads,Communication Services,United States,2223635946
Roland Berger,end any activity for Russia,Industrials,Germany,9701171219
S Group (Suomen Osuuskauppojen Keskuskunta),close all operations,Consumer Staples,Finland,
S&P 500 [S&P Dow Jones Indices],curtail Russian access to capital markets,Financials,United States,500
Salesforce,exit business relationships in Russia,Industrials,United States,
Sarantis Group,Permanent withdrawal from Russian market,Consumer Staples,Greece,
Savills,end partnerships in Russia,Real Estate,United Kingdom,7704326869
Schneider Electric,sell Russian assets to local management and exit completely,Industrials,France,5050066052
Shell,total withdrawal from virtually all Russia-related businesses,Energy,United Kingdom,
Sidley Austin,end all Russian relationships,Industrials,United States,
Siemens,exit Russian market,Industrials,Germany,7725025502
SKF,end sales and production in Russia,Industrials,Sweden,7841038870
Slack,exit Russian market completely,Information Technology,United States,
SMAY,end cooperation with Russia,Industrials,Poland,7702102447
Smurfit Kappa,exit Russian market,Materials,Ireland,7536158218
Societe Generale,cessation of all activities in Russia,Financials,France,7730060164
Sodexo,ceded control of its operations in Russia,Industrials,France,7722267655
Sonos,ceased all sales to this market at the onset of the war and blocked Russian state radio,Consumer Discretionary,United States,2536305544
Squire Patton Boggs,leave Russia,Industrials,United States,7738170747
Stanley Black & Decker,shut down Russian business,Industrials,United States,7705987830
Starbucks,exit and no longer have a brand presence in Russia,Consumer Discretionary,United States,7702336741
State Street,curtail Russian access to capital markets,Financials,United States,7716929501
Stora Enso,divest packaging plants,Materials,Finland,1005140010
Storebrand,divest all Russian holdings,Financials,Norway,
Strabag,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska,Industrials,Austria,7707007451
Sulzer,exit Russian market,Industrials,Switzerland,5043032704
Svenska Handelsbanken,divest from all Russian investments,Financials,Sweden,7735116621
Sylvamo,Sold operations in Russia,Materials,United States,
Systembolaget,remove all Russian alcohol from stores,Consumer Discretionary,Sweden,
Sæplast,Stopped all operations in Russia,Materials,Iceland,7709948616
Tata Steel,replaced all Russian raw materials for operations; no presence in Russia,Materials,India,7703421132
Tchibo,sell Russian subsidiary,Consumer Staples,Germany,7710502329
TeamViewer,withdraw from Russia/Belarus,Information Technology,Germany,
Teknotherm Marine HVAC sp. z o.o.,complete withdrawal from Russia,Industrials,Poland,
Teradata,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.,Information Technology,United States,7705798423
Tietoevry,conclude total exit from Russia,Information Technology,Finland,9710093415
TJ Maxx,divest Familia subsidiary,Consumer Discretionary,United States,
Trane Technologies,suspend all business activities indefinitely & exit Russia,Industrials,Ireland,5252000840
TripAdvisor,remove Kremlin-linked propaganda and ads,Communication Services,United States,
Triumph Motorcycles,Discontinued commerical activity in Russia,Consumer Discretionary,United Kingdom,
TUI,end brand-sharing agreement; had already exited,Consumer Discretionary,Germany,1112004460
Tunnock's,discontinue supplies to Russia,Consumer Staples,United Kingdom,
Uber,divest from partnership with Yandex,Information Technology,United States,7703404842
UEFA,ban Russian athletes from competing,NGO,Switzerland,9705121177
Umbro,withdrawal from the Russian market,Consumer Discretionary,United Kingdom,2607800153
United Internet Group,suspend all Russian contracts,Information Technology,Germany,7449006730
Universal,closing operations in Russia,Communication Services,United States,2450022833
Vaillant Group,Terminated business activities in Russia,Industrials,Germany,
Valio,sell business and Viola brand to Velcom,Consumer Staples,Finland,7713131552
Valmet,exit from Russia,Industrials,Finland,7709196405
Vanguard,suspend operations in Russia,Financials,United States,1435315946
Velux,permanently close operations in Russia and Belarus,Consumer Discretionary,Denmark,7701022990
Vestas,continue operations but no new contracts,Energy,Denmark,7327083946
Vianor,terminate contract with Russian subsidiary,Consumer Discretionary,Finland,7715023753
Vičiūnai,selling Russian operations and exiting Russia,Consumer Staples,Lithuania,5003082890
Vinmonopolet,"stop sales of all Russian wine, spirits and strong beers in Norway",Consumer Staples,Norway,
Vitol,stop buying Russian oil by the end of 2022,Energy,Switzerland,
Vodafone,suspend partner agreement with MTS,Information Technology,United Kingdom,7718767704
